
"product_name","Prime World"
"enter_pc","Kişisel giriş"
"login","Giriş"
"e_mail","E-mail"
"password","Şifre"
"remember_me","Beni hatırla"
"forgot_password","Şifreni mi unuttun?"
"create_account","Hesap oluştur"
"enter_errors","Girişte sorun mu yaşıyorsunuz?"
"copyright","Tüm hakları saklıdır. Prime World, <a href='http://www.nival.com/' target='_blank'>Nival</a>'in tescilli markasıdır."
"login","Giriş"

"change_mail_title","Mail adresini değiştir | Prime World"
"current_pass_label","Mevcut şifre:"
"new_pass_label","Yeni şifre:"
"new_pass_confirm_label","Şifre doğrula:"
"new_email_label","Yeni mail adresiniz:"
"change_mail_button","Mail adresini değiştir"

"change_password_title","Şifre sıfırla | Prime World"
"change_password_title2","Sifreyi degistir | Prime World"
"change_password_title_small","Sifre sıfırla"
"change_password_button","Sifreyi degistir"

"message_title","Mesaj | Prime World"
"message","Mesaj"
"confirm_fail_message","Ne yazık ki, kayıt işlemi tamamlanamadı."
"confirm_fail_solution","Lütfen, problemin çözümü için <a href="http://support.zzima.com/">destek</a> sistemimize başvurun."
"back_button","Geri dön"
"confirm_ok_message","Tebrikler, kayıt işleminiz tamamlandı. "

"register_title","Kayıt | Prime World"
"register","Kayıt"
"email_label","E-mail"
"password_label","Şifre"
"birth_date_label","Doğum Tarihi"
"day_label","Gün"
"month_label","Ay"
"jan_label","Ocak"
"feb_label","Şubat"
"mar_label","Mart"
"apr_label","Nisan"
"may_label","Mayıs"
"jun_label","Haziran"
"jul_label","Temmuz"
"aug_label","Ağustos"
"sep_label","Eylül"
"oct_label","Ekim"
"nov_label","Kasım"
"dec_label","Aralık"

"year_label","Yıl"

"gender_label","Cinsiyetiniz"
"male_label","Erkek"
"female_label","Bayan"

"captcha_update","Yenile"
"captcha_code_label","Resimdeki metin"
"register_eula_label","<a onclick='showEula(this);'>Kullanıcı sözleşmesi</a> şartlarını kabul ediyorum"

"create_account_label","Hesap oluştur"
"enter_account_label","Hesaba giriş yap"
"create_errors","Hesap oluşturamıyor musunuz?"

"reset_password_title","Şifre değiştir | Prime World"
"email_address_label","E-posta adresiniz"
"reset_and_send_password","Talimatları e-posta olarak gönder"
"reset_password_label","Şifre değiştir"

"password_changed_success","Şifreniz başarıyla değiştirildi."
"password_changed_error","Hata: şifre değiştirilemedi."
"password_change_often","Sıksık şifre değiştirmek yasaktır."
"user_not_found","Giriş ismi bulunamadı."
"password_new_sent","Şifrenizi değiştirmeniz için talimatlar posta adresinize gönderildi."
"email_changed_success","Mail adresi başarıyla değiştirildi."
"email_changed_error","Mail değiştirme hatası."
"password_random_sent","Şifre sıfırlandı ve mail adresinize gönderildi."
"password_random_error","Şifre sıfırlama hatası."
"email_confirm_error","Girilen mail adresi mevcut değil."
"email_confirm_success","Mail adresi onaylandı."
"registration_error","Kayıt hatası."
"welcome_to_prime_world","Prime World'e hoş geldiniz!"
"login_error","Hatalı giriş."

"err_email","Mail geçerli değil."
"err_email_req"," Lütfen mail adresinizi giriniz."
"err_password_req","Lütfen şifrenizi giriniz."
"err_password_to_short","Şifre en az 4 haneli olmalıdır."
"err_password_to_long","Şifre en fazla 32 haneli olabilir."
"err_password_wrong_symbols"," Şifre sadece <br/> latin harfleri ve rakamlar içerebilir."
"err_password_contains_email","Şifre mail adresinin bir bölümünü içeriyor."
"err_passwords_do_not_match","Şifreler aynı değil. Lütfen tekrar kontrol ediniz."
"err_birth_day_not_set","Lütfen, doğum tarihini giriniz."
"err_birth_month_not_set","Lütfen doğduğunuz ayı giriniz."
"err_birth_year_not_set","Lütfen doğduğunuz yılı giriniz."
"err_wrong_date","Tarih geçerli değil."
"err_gender_not_set","Lütfen cinsiyetinizi işaretleyiniz."
"err_need_accept_eula","Lütfen, lisans sözleşmesini kabul ediniz."
