
"product_name","Prime World"
"enter_pc","Вход в личный кабинет"
"login","Вход"
"e_mail","E-mail"
"password","Пароль"
"remember_me","Запомнить меня"
"forgot_password","Забыли пароль?"
"create_account","Создать аккаунт"
"enter_errors","Не получается войти?"
"copyright","Все права защищены. Prime World является торговой маркой компании <a href='http://www.nival.com/' target='_blank'>Nival</a>"
"login","Войти"

"change_mail_title","Cменить почту | Prime World"
"current_pass_label","Текущий пароль:"
"new_pass_label","Новый пароль:"
"new_pass_confirm_label","Подтвердить пароль:"
"new_email_label","Ваш новый электронный адрес:"
"change_mail_button","Cменить почту"

"change_password_title","Cменить пароль | Prime World"
"change_password_title2","Cмена пароля | Prime World"
"change_password_title_small","Cмена пароля"
"change_password_button","Сменить пароль"

"message_title","Сообщение | Prime World"
"message","Сообщение"
"confirm_fail_message","К сожалению, ваша регистрация не может быть подтверждена."
"confirm_fail_solution","Пожалуйста, обратитесь в <a href='http://support.zzima.com/' target='_blank'>службу поддержки</a> для решения этой проблемы."
"back_button","Вернуться назад"
"confirm_ok_message","Поздравляем, Ваша регистрация успешно подтверждена."

"register_title","Регистрация | Prime World"
"register","Регистрация"
"email_label","E-mail"
"password_label","Пароль"
"birth_date_label","Дата рождения"
"day_label","День"
"month_label","Месяц"
"jan_label","Январь"
"feb_label","Февраль"
"mar_label","Март"
"apr_label","Апрель"
"may_label","Май"
"jun_label","Июнь"
"jul_label","Июль"
"aug_label","Август"
"sep_label","Сентябрь"
"oct_label","Октябрь"
"nov_label","Ноябрь"
"dec_label","Декабрь"

"year_label","Год"

"gender_label","Ваш пол?"
"male_label","мужской"
"female_label","женский"

"captcha_update","Обновить"
"captcha_code_label","Код на картинке"
"register_eula_label","Я принимаю условия <a onclick='showEula(this);'>пользовательского соглашения</a>"

"create_account_label","Создать аккаунт"
"enter_account_label","Войти в аккаунт"
"create_errors","Не получается создать аккаунт?"

"reset_password_title","Смена пароля | Prime World"
"email_address_label","Ваша электронная почта"
"reset_and_send_password","Прислать инструкции на электронную почту"
"reset_password_label","Смена пароля"

"password_changed_success","Ваш пароль успешно изменен."
"password_changed_error","Ошибка смены пароля."
"password_change_often","Слишком частая смена пароля запрещена."
"user_not_found","Пользователь не найден."
"password_new_sent","Инструкции по смене пароля были высланы на вашу электронную почту."
"email_changed_success","Email успешно изменен."
"email_changed_error","Ошибка изменения email."
"password_random_sent","Пароль сброшен на случайный и выслан на Ваш email."
"password_random_error","Ошибка сброса пароля."
"email_confirm_error","Ошибка подтверждения email."
"email_confirm_success","Email успешно подтвержден."
"registration_error","Ошибка регистрации."
"welcome_to_prime_world","Всегда рады вас видеть в Prime World !"
"login_error","Ошибка входа."

"err_email","Указан ошибочный e-mail"
"err_email_req","Не указан e-mail"
"err_password_req","Необходимо указать пароль"
"err_password_to_short","Пароль не должен быть короче 4 символов"
"err_password_to_long","Пароль должен быть не длиннее 32 символов"
"err_password_wrong_symbols","Пароль должен содержать <br/> только латинские буквы или цифры"
"err_password_contains_email","Пароль содержит часть email"
"err_passwords_do_not_match","Пароли не совпадают. Пожалуйста, проверьте"
"err_birth_day_not_set","Не указан день рождения"
"err_birth_month_not_set","Не указан месяц рождения"
"err_birth_year_not_set","Не указан год рождения"
"err_wrong_date","Указана неверная дата"
"err_gender_not_set","Не указан пол"
"err_need_accept_eula","Необходимо принять условия соглашения"
